move,occurrences,total_loss,avg_loss_per_move,first_recorded_loss,last_recorded_loss
v2,136073,1617177.0,11.884628104032394,63544.0,58980.0
v0,136904,1624298.000156,11.864503594898615,64950.000156,57247.0
h9,136058,1609050.0000345,11.826206471023387,62038.0000345,57214.0
v4,136713,1614848.0001615,11.811956435463342,62583.0001615,57119.0
v8,136757,1614494.000043,11.805567539818803,61664.000043,55922.0
h2,136649,1608378.000001,11.770141018236504,61172.000001,56828.0
v9,136389,1604191.000141,11.761879624757128,61935.000141,56583.0
h7,137295,1614340.0002447,11.758184932041953,61290.0002447,57146.0
h4,135967,1598302.0000335001,11.755072922352484,62420.0000335,57054.0
v5,136268,1601120.000033,11.749787184320605,61760.000033,56830.0
v6,136161,1599320.0003324,11.745800929285185,61072.0003324,56100.0
h6,136226,1599348.0,11.740401979064202,61856.0,57550.0
h8,136170,1598444.0000304999,11.73859146677315,62380.0000305,56922.0
h5,136480,1601670.000156,11.735565651787807,62562.000156,56016.0
v7,136269,1599044.000024,11.734466386514908,63181.000024,57355.0
h3,136521,1600308.0001745,11.722064738571357,60684.0001745,56572.0
v3,136229,1594349.0001535001,11.70344787199128,61900.0001535,57672.0
h1,136586,1592134.0000365,11.656641237290058,60800.0000365,55746.0
v1,136536,1566107.3628129999,11.470288882148298,59235.049202999995,55770.04881999991
