position,repeat_count
88,87
90,1
93,2
95,1
98,2
100,1
103,2
105,1
108,2
110,1
113,2
115,1
118,2
120,1
123,2
125,1
128,2
130,1
133,2
135,1
138,2
145,3
153,3
156,1
159,2
161,1
164,2
167,1
169,1
172,2
176,1
179,2
183,1
186,2
190,1
193,2
199,1
202,1
204,1
207,2
213,1
218,1
223,1
226,1
229,2
233,1
236,2
240,1
242,1
245,2
251,1
256,1
261,2
265,1
268,2
272,1
274,1
277,2
283,1
288,1
293,1
296,1
299,2
303,1
306,2
310,1
312,1
317,1
319,1
326,1
329,2
333,1
335,1
340,1
343,1
348,2
354,1
359,1
362,1
364,1
369,2
373,1
375,1
380,1
383,1
385,1
390,1
392,1
397,2
400,1
404,2
408,1
416,1
423,1
426,2
429,1
437,1
445,2
449,2
452,1
456,2
463,2
469,2
475,2
481,2
485,1
492,2
496,2
500,2
505,1
508,2
513,1
516,2
521,1
526,1
531,2
536,1
543,1
550,1
556,3
559,1
569,1
574,2
581,4
586,2
593,2
599,2
603,3
608,2
613,1
620,1
623,2
639,1
644,1
651,1
654,2
659,2
663,3
665,1
668,2
673,1
680,1
694,2
699,2
704,1
707,2
711,3
713,1
719,1
726,1
735,1
739,1
745,2
749,3
751,1
754,2
761,1
769,4
774,1
788,1
797,1
803,3
805,1
808,2
814,1
822,1
829,2
834,1
840,3
842,1
861,1
872,1
877,1
885,1
893,1
902,1
909,1
916,2
919,2
923,2
933,2
938,2
945,1
953,1
963,2
966,2
974,1
979,2
982,1
984,1
987,2
1000,2
1009,1
1016,3
1026,1
1038,2
1040,1
1042,1
1063,1
1069,2
1075,1
1081,1
1085,2
1088,1
1090,1
1103,1
1105,1
1107,1
1127,1
1133,2
1136,1
1143,2
1145,1
1148,1
1158,1
1165,1
1168,1
1172,1
1182,4
1186,2
1190,1
1193,1
1199,1
1210,2
1213,1
1215,1
1218,2
1223,2
1229,2
1231,1
1238,1
1245,1
1248,1
1257,2
1263,1
1269,1
1274,2
1277,1
1279,1
1284,2
1302,1
1304,1
1310,2
1316,2
1322,2
1326,1
1330,2
1334,1
1342,1
1344,1
1356,1
1364,1
1369,2
1372,2
1397,2
1400,1
1402,1
1405,2
1419,3
1431,1
1436,1
1441,1
1449,1
1471,2
1477,1
1503,1
1516,1
1524,1
1528,2
1532,2
1549,2
1569,1
1581,2
1584,1
1587,1
1590,2
1595,1
1605,2
1612,1
1616,1
1618,1
1630,2
1634,1
1638,1
1641,1
1657,1
1662,2
1694,1
1717,2
1729,1
1737,2
1743,2
1746,2
1776,2
1781,1
1787,2
1790,2
1801,1
1805,1
1808,2
1816,1
1831,3
1845,2
1849,1
1852,1
1865,1
1876,2
1884,2
1894,1
1898,2
1903,1
1906,1
1916,2
1925,1
1946,1
1952,2
1957,1
1962,2
1967,1
1981,1
1987,2
1992,1
1999,1
2004,1
2023,1
2037,2
2044,1
2048,2
2055,1
2074,1
2077,2
2082,1
2096,1
2108,2
2123,1
2128,1
2132,2
2141,1
2151,1
2154,1
2163,1
2171,1
2178,1
2217,1
2222,2
2232,2
2234,1
2241,2
2244,2
2248,1
2254,1
2259,1
2262,2
2267,1
2272,1
2292,2
2295,2
2304,1
2311,1
2315,1
2329,1
2346,1
2350,3
2361,1
2368,1
2372,1
2374,1
2386,2
2389,2
2409,2
2412,1
2415,2
2417,1
2422,1
2424,1
2426,1
2434,1
2436,1
2446,1
2450,1
2455,1
2480,1
2496,1
2512,1
2529,1
2540,1
2545,1
2548,1
2558,1
2563,1
2569,1
2574,2
2581,2
2592,1
2597,2
2603,1
2606,1
2630,1
2640,2
2666,2
2670,2
2673,2
2680,1
2692,1
2699,1
2729,2
2743,2
2748,1
2752,2
2777,1
2787,2
2799,1
2808,1
2813,1
2820,2
2828,2
2831,1
2840,1
2859,2
2863,3
2867,1
2872,1
2878,1
2883,1
2899,2
2907,2
2913,1
2916,1
2921,2
2926,1
2931,1
2941,1
2947,1
2949,1
2960,2
2962,1
2964,1
2969,1
2981,2
2986,2
2989,2
2996,1
3000,1
3004,1
3010,2
3014,2
3018,2
3021,1
3026,1
3033,2
3040,1
3045,1
3058,1
3060,1
3065,4
3071,1
3074,2
3091,1
3095,1
3098,1
3117,2
3121,2
3125,1
3127,1
3137,4
3142,2
3151,1
3158,1
3163,1
3173,2
3178,1
3181,1
3186,2
3194,4
3206,1
3212,1
3215,1
3218,2
3224,1
3226,1
3231,1
3238,1
3252,1
3255,1
3258,1
3268,1
3271,1
3276,1
3278,1
3280,1
3304,1
3321,1
3341,4
3348,1
3352,1
3357,1
3373,2
3377,2
3380,1
3383,2
3387,1
3393,2
3396,1
3399,1
3401,1
3409,1
3419,4
3424,1
3434,1
3438,1
3443,1
3451,1
3466,1
3472,1
3475,1
3479,1
3482,1
3486,1
3490,1
3504,1
3508,1
3516,1
3518,1
3522,2
3529,1
3540,1
3547,4
3553,1
3561,2
3565,1
3584,1
3588,1
3594,1
3599,1
3605,2
3610,2
3615,2
3631,1
3633,1
3639,2
3643,1
3645,1
3654,1
3658,1
3664,2
3668,1
3671,2
3678,1
3684,1
3688,1
3691,1
3693,1
3699,1
3706,4
3712,1
3714,1
3722,1
3731,2
3734,1
3739,1
3742,1
3759,1
3761,1
3768,1
3779,1
3783,2
3790,1
3813,1
3827,1
3830,1
3848,2
3852,1
3855,2
3859,1
3865,2
3874,2
3883,1
3887,1
3889,1
3895,1
3899,2
3911,2
3915,2
3924,4
3933,1
3941,1
3944,1
3972,1
3982,2
3986,1
3989,2
4003,1
4006,1
4009,1
4016,1
4042,1
4049,1
4051,1
4056,1
4062,1
4065,1
4074,4
4086,1
4100,1
4108,1
4114,1
4139,1
4143,1
4152,4
4158,1
4160,1
4170,2
4176,1
4182,1
4187,1
4189,1
4196,2
4200,1
4212,1
4219,1
4224,2
4230,1
4236,1
4240,1
4243,2
4248,1
4250,1
4255,2
4270,1
4272,1
4281,1
4283,1
4288,4
4294,1
4296,1
4301,1
4308,2
4313,1
4317,2
4324,1
4334,2
4338,1
4341,2
4346,1
4349,2
4359,2
4363,1
4369,1
4375,1
4380,1
4383,1
4396,4
4411,1
4420,1
4423,1
4425,1
4432,2
4438,1
4444,1
4448,1
4458,2
4462,1
4464,1
4466,1
4483,1
4492,1
4500,1
4507,1
4509,1
4514,2
4521,1
4523,1
4529,1
4538,2
4544,2
4561,2
4564,1
4567,1
4582,4
4586,1
4594,3
4605,1
4625,1
4632,2
4636,2
4642,1
4649,1
4652,1
4666,1
4681,1
4687,1
4691,1
4701,2
4705,1
4708,2
4715,1
4720,1
4728,2
4743,1
4750,1
4752,1
4759,2
4761,1
4765,2
4770,1
4781,1
4783,1
4795,2
4801,2
4809,2
4815,1
4819,1
4823,2
4831,2
4841,1
4845,1
4851,1
4857,1
4859,1
4870,1
4874,1
4877,1
4880,2
4907,2
4923,2
4941,1
4956,1
4959,1
4971,2
4978,4
4981,2
4983,1
4988,2
4993,1
4999,1
5006,2
5014,2
5025,2
5028,1
5032,1
5036,1
5043,2
5060,1
5064,1
5074,1
5076,1
5082,1
5088,2
5092,1
5094,1
5102,1
5104,1
5121,1
5130,1
5137,1
5139,1
5147,1
5157,1
5167,1
5172,2
5191,1
5208,1
5210,1
5220,4
5232,1
5234,1
5240,1
5244,1
5246,1
5254,1
5263,2
5270,2
5278,1
5291,2
5298,1
5304,1
5317,1
5321,2
5327,1
5333,1
5340,2
5343,1
5345,1
5357,2
5359,1
5366,1
5372,2
5375,2
5378,2
5380,1
5388,1
5391,2
5398,2
5402,1
5407,1
5411,1
5414,1
5422,2
5426,1
5431,1
5434,2
5436,1
5446,2
5452,2
5462,2
5467,2
5473,1
5480,1
5485,1
5492,1
5496,2
5500,1
5510,1
5512,1
5515,2
5518,2
5524,1
5537,1
5546,1
5552,2
5560,1
5577,2
5587,1
5590,1
5597,1
5632,1
5641,2
5647,1
5656,1
5659,2
5667,2
5669,1
5674,1
