position,repeat_count
298,297
302,2
305,1
309,2
313,2
315,1
319,2
322,1
325,2
329,2
333,2
337,2
341,2
345,2
347,1
350,1
353,2
357,2
361,2
363,1
367,2
370,1
373,2
377,2
381,2
385,2
389,2
393,2
395,1
399,2
402,1
405,2
409,2
413,2
417,2
421,2
423,1
427,2
430,1
433,2
437,2
441,2
445,2
448,1
451,2
453,1
457,2
460,1
462,1
465,2
468,1
471,2
474,1
476,1
481,4
485,2
489,2
492,1
494,1
496,1
499,2
501,1
503,1
505,1
508,2
510,1
512,1
514,1
517,2
519,1
521,1
526,4
532,2
537,2
541,2
546,2
549,1
551,1
553,1
556,2
559,2
562,1
564,1
569,4
572,1
574,1
576,1
579,2
581,1
584,2
588,2
591,1
593,1
595,1
598,2
600,1
602,1
607,4
611,2
614,1
617,2
620,1
622,1
624,1
627,2
630,2
633,1
635,1
637,1
640,2
642,1
644,1
649,4
652,1
654,1
656,1
659,2
661,1
664,2
668,2
671,1
673,1
675,1
678,2
680,1
682,1
687,4
691,2
694,1
697,2
700,1
702,1
704,1
707,2
709,1
711,1
713,1
716,2
720,3
724,1
729,4
732,1
735,2
738,1
740,1
742,1
745,2
748,2
751,1
753,1
755,1
758,2
760,1
762,1
764,1
767,1
772,1
774,1
777,1
782,2
786,1
788,1
791,1
796,1
798,1
800,1
805,1
807,1
809,1
814,1
816,1
819,1
824,1
826,1
829,1
834,1
836,1
838,1
845,6
849,1
851,1
853,1
858,2
863,1
866,1
868,1
873,1
877,2
882,1
886,1
891,1
894,2
900,2
904,1
907,2
911,1
913,1
915,1
917,1
920,1
922,1
926,2
928,1
931,1
933,1
935,1
939,1
942,1
944,1
947,2
951,1
953,1
955,1
957,1
961,2
964,1
966,1
970,1
972,1
976,2
979,1
981,1
983,1
985,1
987,1
990,1
992,1
996,1
999,1
1003,2
1006,1
1014,1
1021,1
1028,1
1034,1
1037,2
1042,2
1050,2
1058,2
1064,1
1073,2
1081,2
1101,2
1106,1
1167,1
1185,1
1200,1
1251,2
1263,1
1282,1
1285,1
1292,1
1299,1
1305,1
1308,2
1318,1
1335,1
1342,1
1344,1
1351,1
1360,2
1367,1
1386,1
1393,1
1395,1
1414,1
1435,1
1456,1
1477,1
1491,1
1505,1
1514,1
1519,1
1521,1
1523,1
1543,1
1558,1
1568,1
1570,1
1572,1
1585,1
1594,1
1599,1
1605,1
1641,1
1651,1
1667,1
1671,1
1692,1
1697,1
1712,1
1740,1
1745,1
1753,1
1755,1
1758,1
1760,1
1770,1
1773,1
1779,1
1782,1
1785,1
1798,1
1806,1
1830,2
1837,1
1841,1
1847,1
1856,1
1858,1
1862,1
1872,1
1890,1
1894,1
1897,2
1904,2
1909,2
1913,1
1915,1
1924,1
1931,1
1933,1
1937,1
1945,1
1948,1
1960,1
1962,1
1964,1
1970,1
1988,1
1993,1
1995,1
2006,2
2010,1
2013,2
2020,1
2022,1
2026,1
2036,1
2042,1
2051,1
2058,1
2060,1
2064,1
2072,1
2093,1
2099,1
2106,2
2119,1
2123,1
2126,2
2130,1
2136,1
2143,2
2157,1
2166,1
2173,1
2175,1
2179,1
2187,1
2200,3
2209,1
2211,1
2218,1
2227,2
2231,1
2239,1
2247,1
2250,1
2254,2
2258,1
2268,1
2272,1
2279,1
2288,1
2290,1
2305,1
2308,1
2312,2
2319,1
2321,1
2328,1
2335,1
2346,1
2353,1
2364,1
2367,1
2375,1
2377,1
2381,1
2384,2
2388,1
2391,2
2414,1
2419,1
2421,1
2425,2
2432,1
2434,1
2441,1
2443,1
2451,1
2456,1
2459,1
2462,2
2483,3
2487,1
2490,2
2497,1
2510,1
2512,1
2527,1
2531,1
2534,2
2541,1
2547,1
2555,1
2563,1
2570,1
2573,1
2577,2
2581,1
2587,1
2613,1
2616,2
2624,1
2627,1
2631,2
2638,1
2640,1
2644,1
2659,1
2661,1
2665,1
2668,2
2679,1
2683,2
2687,1
2690,2
2698,1
2703,2
2706,1
2723,1
2725,1
2732,1
2735,1
2739,2
2743,1
2746,2
2764,1
2767,2
2780,1
2783,1
2787,1
2791,1
2797,1
2800,2
2806,1
2814,1
2819,1
2824,1
2828,1
2836,2
2840,1
2849,1
2853,1
2858,1
2862,2
2866,1
2869,2
2873,1
2876,2
2878,1
2882,1
2897,1
2901,1
2904,1
2908,1
2912,1
2924,2
2931,2
2942,1
2946,1
2949,1
2951,1
2959,1
2967,1
2979,1
2989,1
2998,1
3001,1
3004,1
3006,1
3011,1
3028,1
3033,1
3035,1
3042,1
3046,1
3049,1
3051,1
3059,1
3061,1
3065,2
3073,2
3078,1
3082,1
3085,1
3089,1
3094,1
3098,2
3105,1
3112,1
3119,1
3123,1
3125,1
3139,1
3146,1
3151,1
3165,1
3174,1
3177,1
3181,1
3184,1
3189,1
3192,1
3196,1
3198,1
3203,1
3238,1
3241,2
3244,1
3248,2
3254,1
3267,1
3292,1
3296,2
3300,1
3304,2
3308,1
3312,2
3355,1
3357,1
3359,1
3365,1
3373,1
3388,3
3404,1
3410,1
3414,1
3429,1
3432,1
3439,1
3442,1
3485,3
3487,1
3491,2
3495,1
3499,2
3509,1
3513,2
3519,1
3522,1
3542,1
3545,1
3550,1
3553,1
3557,1
3563,2
3570,1
3585,1
3588,1
3607,3
3610,1
3613,1
3636,1
3640,2
3645,1
3648,1
3670,1
3672,1
3676,2
3679,1
3682,1
3701,1
3704,1
3728,1
3731,1
3754,1
3757,1
3760,1
3773,1
3776,1
3789,1
3791,1
3794,1
3796,1
3810,1
3812,1
3816,1
3827,1
3830,1
3842,1
3844,1
3848,1
3857,1
3865,1
3868,1
3872,2
3885,1
3887,1
3891,1
3894,1
3897,1
3901,2
3907,1
3909,1
3911,1
3915,1
3924,1
3932,1
3934,1
3954,1
3956,1
3961,1
3963,1
3971,1
3979,1
3992,1
4000,1
4004,1
4007,1
4014,1
4019,1
4027,1
4031,1
4043,1
4046,1
4050,2
4060,1
4063,1
4067,2
4080,1
4082,1
4103,1
4105,1
4107,1
4131,1
4133,1
4146,1
4150,1
4153,1
4156,1
4161,1
4163,1
4171,1
4186,1
4202,1
4215,1
4219,1
4229,1
4234,1
4236,1
4240,1
4244,1
4246,1
4253,1
4259,1
4264,1
4266,1
4268,1
4271,1
4274,1
4278,1
4282,2
4302,1
4307,1
4309,1
4314,1
4325,1
4329,1
4333,1
4336,1
4341,1
4343,1
4359,1
4367,1
4369,1
4372,1
4375,1
4380,1
4384,2
4388,1
4392,1
4395,1
4403,1
4407,2
4419,1
4421,1
4442,1
4450,1
4452,1
4454,1
4461,1
4465,2
4475,1
4478,1
4482,2
4492,1
4494,1
4500,1
4502,1
4537,1
4539,1
4544,1
4546,1
4556,1
4559,2
4567,1
4574,1
4582,1
4590,1
4592,1
4602,1
4616,1
4630,1
4632,1
4636,1
4661,1
4666,1
4668,1
4671,1
4675,2
4707,1
4710,1
4714,2
4719,1
4732,1
4741,1
4749,1
4752,1
4757,1
4769,1
4771,1
4776,1
4779,1
4783,2
4797,1
4802,1
4804,1
4810,1
4814,2
4822,1
4830,1
4843,1
4845,1
4850,1
4860,3
4881,1
4885,2
4890,1
4893,1
4915,1
4918,1
4929,1
4931,1
4935,2
4942,3
4959,1
4980,1
4998,3
5001,1
5005,2
5009,1
5012,1
5062,1
5072,1
5074,1
5076,1
5079,1
5086,1
5099,1
5118,3
5120,1
5122,1
5126,2
5149,1
5153,2
5159,1
5164,1
5170,1
5180,1
5186,1
5190,2
5192,1
5196,2
5206,1
5214,1
5220,1
5224,2
5228,1
5231,1
5256,3
5297,1
5299,1
5302,2
5304,1
5306,1
5308,1
5314,1
5322,1
5330,1
5333,1
5359,1
5385,1
5405,1
5413,1
5419,3
5424,2
5427,2
5431,1
5436,2
5438,1
5441,1
5451,1
5459,2
5462,2
5474,2
5477,2
5487,1
5490,2
5494,2
5496,1
5499,1
5508,2
5512,1
5531,1
5538,1
5541,1
5548,1
5554,1
5563,1
5566,1
5568,1
5579,1
5581,1
5583,1
5587,2
5591,1
5602,2
5606,1
5616,1
5622,1
5629,1
5632,1
5634,1
5637,1
5639,1
5644,2
5682,2
5690,2
5692,1
5700,2
5703,1
5722,1
5725,1
5730,1
5733,1
5741,1
5755,1
5760,4
5762,1
5765,1
5767,1
5771,1
5773,1
5775,1
5779,2
5787,3
5802,1
5812,1
5822,2
5827,1
5835,1
5838,1
5840,1
5844,1
5854,1
5864,2
5874,1
5877,1
5880,1
5884,1
5894,2
5899,2
5901,1
5905,1
5927,4
5931,1
5940,1
5949,1
5959,1
5961,1
5970,2
5972,1
5997,1
6018,2
6021,1
6032,2
6041,1
6047,2
6049,1
6058,3
6064,1
6066,1
6068,1
6072,2
6076,1
6082,1
6088,1
6092,1
6096,1
6119,1
6122,1
6130,2
6132,1
6137,1
6141,1
6149,2
6151,1
6159,2
6163,1
6170,1
6176,1
6180,1
6184,2
6191,1
6193,1
6198,2
6210,1
6213,1
6216,2
6220,1
6224,1
6233,2
6240,1
6247,1
6251,1
6254,1
6259,3
6263,1
6268,1
6271,1
6275,3
6291,2
6295,1
6301,1
6304,1
6310,1
6312,1
6315,1
6322,2
6326,1
6329,1
6335,1
6338,1
6343,3
6350,2
6357,1
6364,1
6371,1
6377,1
6382,1
6385,1
6389,3
6405,1
6409,2
6412,1
6422,1
6433,2
6437,1
6445,1
6448,1
6453,3
6459,1
6464,1
6467,1
6470,2
6474,3
6480,2
6487,1
6493,1
6504,1
6512,1
6518,1
6526,2
6532,1
6538,1
6542,1
6549,1
6554,1
6562,1
6564,1
6566,1
6584,1
6590,1
6595,1
6598,1
6601,2
6608,1
6615,1
6623,1
6632,4
6637,2
6644,1
6676,1
6682,2
6687,2
6694,1
6721,1
6725,2
6731,1
6740,1
6747,1
6754,2
6758,3
6765,1
6768,1
6772,1
6780,1
6791,1
6799,1
6803,2
6815,2
6827,2
6836,1
6853,1
6865,1
6870,1
6875,2
6878,1
6881,1
6884,1
6889,4
6892,2
6894,1
6898,2
6901,1
6908,1
6912,1
6920,1
6930,2
6932,1
6935,1
6937,1
6945,2
6949,1
6966,2
6972,1
6979,1
6983,2
6986,2
7000,1
7010,1
7012,1
7014,1
7016,1
7031,1
7042,1
7060,1
7064,2
7079,2
7082,2
7089,2
7102,2
7106,3
7111,1
7118,1
7128,1
7132,2
7139,2
7153,1
7161,1
7166,1
7170,2
7183,1
7187,2
7190,1
7200,1
7203,1
7207,1
7212,4
7219,2
7225,1
7232,1
7239,2
7245,2
7254,2
7263,4
7281,2
7285,1
7288,1
7300,2
7304,1
7307,1
7309,1
7314,2
7318,3
7323,1
7338,1
7341,1
7343,1
7355,1
7359,1
7364,4
7368,1
7379,1
7385,1
7388,1
7393,2
7402,4
7406,1
7435,1
7446,1
7451,2
7453,1
7456,1
7458,1
7462,1
7465,2
7472,1
7477,2
7483,1
7489,1
7491,1
7495,1
7500,1
7504,1
7510,1
7515,2
7521,1
7528,1
7532,1
7540,1
7543,1
7548,3
7558,4
7565,2
7570,1
7574,2
7578,1
7585,2
7589,3
7600,4
7612,1
7616,2
7622,1
7650,1
7661,4
7665,1
7671,1
7674,1
7678,3
7681,2
7689,2
7693,1
7706,1
7722,1
7736,1
7747,2
7750,2
7754,3
7763,2
7765,1
7769,1
7775,4
7781,1
7783,1
7785,1
7791,1
7801,1
7814,2
7826,2
7829,2
7833,3
7840,1
7842,1
7846,1
7870,1
7880,2
7897,2
7901,3
7913,2
7917,1
7925,1
7940,1
7942,1
7944,1
7948,3
7950,1
7958,2
7963,2
7966,2
7970,3
7979,1
7986,2
7990,1
8000,1
8019,1
8021,1
8026,2
8031,2
8039,1
8044,2
8048,3
8054,1
8058,2
8062,1
8073,2
8081,2
8085,1
