position,repeat_count
37,36
42,3
49,4
53,2
55,1
64,3
71,2
79,3
86,3
90,3
99,2
106,2
113,2
118,2
121,2
130,2
135,2
140,2
145,2
148,1
154,2
160,1
168,2
175,1
178,2
185,1
188,2
193,3
197,1
200,2
202,1
205,2
211,2
218,1
220,1
225,2
228,2
233,2
237,2
240,1
242,1
245,1
248,2
253,2
258,1
263,1
267,1
269,1
275,2
282,4
285,1
288,2
292,2
297,1
300,1
303,2
305,1
307,1
313,2
316,2
324,1
327,2
329,1
335,2
340,2
343,2
346,1
351,1
354,2
356,1
359,2
363,1
366,1
371,2
376,1
379,1
384,2
388,1
391,2
396,3
399,2
405,2
411,2
415,2
420,1
428,1
433,2
439,2
446,1
449,2
453,1
455,1
458,2
463,4
470,3
473,2
479,2
484,2
491,2
495,2
499,2
501,1
504,2
508,2
511,1
518,2
522,2
525,1
534,3
539,3
543,2
546,1
549,1
552,1
554,1
566,1
569,1
571,1
574,1
576,1
583,2
586,1
591,1
595,1
602,4
604,1
607,2
613,4
616,1
619,2
622,2
626,2
629,1
634,2
638,1
641,2
649,1
652,1
660,2
664,2
667,1
675,1
677,1
680,2
683,1
687,2
690,2
693,1
696,2
700,1
702,1
706,1
709,1
712,1
720,2
723,1
725,1
729,2
735,3
739,1
741,1
744,1
749,1
752,1
756,2
759,1
763,2
766,1
768,1
771,1
782,2
784,1
786,1
789,2
792,1
795,2
798,1
806,1
809,2
811,1
815,1
818,2
821,1
823,1
833,2
837,1
839,1
841,1
845,1
847,1
849,1
851,1
853,1
862,2
865,1
868,1
872,2
878,5
884,1
888,1
893,2
898,1
900,1
904,2
908,2
911,1
913,1
916,1
922,3
925,1
928,2
932,2
935,1
938,1
940,1
943,1
946,1
948,1
955,2
959,1
961,1
963,1
966,1
969,1
972,2
985,2
994,2
999,4
1003,2
1006,1
1009,1
1011,1
1013,1
1016,2
1018,1
1021,1
1024,1
1026,1
1030,1
1038,1
1041,1
1044,1
1047,1
1049,1
1051,1
1055,1
1062,2
1067,2
1070,2
1073,1
1076,1
1079,1
1087,1
1091,1
1094,1
1097,1
1099,1
1101,1
1106,1
1112,2
1114,1
1119,1
1122,1
1126,2
1138,2
1142,2
1147,1
1150,1
1161,1
1165,1
1167,1
1169,1
1171,1
1175,2
1178,1
1182,2
1185,1
1188,1
1192,2
1200,2
1203,1
1207,3
1209,1
1213,2
1216,1
1218,1
1223,1
1227,1
1231,2
1234,1
1244,2
1246,1
1248,1
1252,1
1255,1
1258,2
1260,1
1263,1
1265,1
1268,1
1271,1
1276,1
1287,3
1293,1
1298,1
1301,2
1306,1
1309,1
1312,1
1315,2
1318,2
1322,1
1332,2
1336,1
1338,1
1342,1
1346,1
1349,2
1351,1
1353,1
1355,1
1359,2
1362,1
1365,2
1371,1
1374,1
1377,2
1379,1
1384,2
1388,1
1391,2
1394,2
1401,2
1404,1
1406,1
1409,1
1412,1
1416,2
1421,1
1426,1
1429,2
1439,2
1442,1
1446,2
1448,1
1450,1
1453,1
1456,2
1458,1
1461,1
1465,2
1468,2
1471,2
1473,1
1476,2
1479,1
1482,1
1485,1
1488,1
1491,1
1500,1
1503,1
1508,2
1512,1
1515,2
1517,1
1520,2
1526,2
1529,1
1535,1
1538,1
1541,1
1543,1
1547,2
1550,1
1553,1
1557,1
1561,1
1563,1
1566,1
1574,2
1577,1
1583,3
1586,1
1589,2
1593,1
1595,1
1597,1
1600,1
1604,2
1610,1
1614,1
1618,1
1620,1
1624,2
1627,2
1630,1
1633,2
1639,1
1645,1
1648,1
1652,1
1654,1
1657,1
1659,1
1661,1
1664,1
1669,2
1672,1
1676,2
1678,1
1681,2
1685,1
1689,1
1695,1
1698,1
1701,2
1704,1
1708,2
1711,2
1717,3
1725,1
1729,1
1732,1
1736,1
1738,1
1740,1
1743,2
1748,2
1750,1
1755,1
1758,1
1760,1
1763,2
1767,2
1770,2
1773,2
1776,1
1779,1
1784,1
1801,1
1803,1
1806,2
1816,2
1818,1
1820,1
1822,1
1826,1
1828,1
1832,1
1835,2
1838,1
1840,1
1844,2
1848,1
1850,1
1854,1
1861,1
1866,3
1868,1
1871,2
1874,1
1878,1
1884,1
1887,1
1891,2
1898,1
1901,1
1905,1
1907,1
1909,1
1912,1
1915,1
1923,2
1927,2
1931,1
1934,1
1937,2
1941,1
1946,4
1948,1
1951,2
1954,1
1959,2
1962,1
1964,1
1975,1
1980,1
1983,1
1985,1
1988,1
1992,2
2003,3
2006,1
2010,1
2015,2
2021,2
2024,1
2031,1
2033,1
2038,1
2045,2
2047,1
2050,2
2053,1
2059,2
2067,2
2071,2
2074,2
2079,1
2085,2
2089,1
2091,1
2099,2
2102,1
2105,1
2110,1
2119,1
2125,1
2129,2
2132,1
2134,1
2137,1
2140,1
2144,1
2151,1
2154,2
2156,1
2159,1
2161,1
2164,1
2168,1
2171,1
2175,1
2181,1
2184,2
2187,2
2190,1
2193,1
2195,1
2198,1
2201,1
2205,1
2211,5
2215,2
2222,1
2224,1
2226,1
2228,1
2230,1
2239,2
2241,1
2244,2
2254,2
2256,1
2260,2
2264,1
2268,2
2272,1
2277,1
2280,1
2287,2
2290,2
2292,1
2298,1
2300,1
2305,1
2307,1
2311,1
2314,1
2318,1
2327,1
2331,1
2337,1
2342,2
2346,2
2349,1
2352,2
2354,1
2357,2
2360,1
2362,1
2367,1
2369,1
2371,1
2377,2
2384,2
2387,1
2390,1
2393,1
2398,1
2402,1
2407,2
2411,1
2418,2
2420,1
2426,4
2431,2
2435,1
2438,2
2440,1
2443,1
2445,1
2447,1
2449,1
2451,1
2454,1
2457,1
2460,2
2463,1
2466,2
2468,1
2470,1
2473,2
2476,2
2479,1
2482,1
2484,1
2487,1
2490,1
2495,1
2498,1
2501,1
2503,1
2507,1
2509,1
2517,2
2520,1
2524,1
2527,2
2529,1
2532,1
2534,1
2537,1
2540,2
2543,2
2546,1
2552,1
2556,2
2558,1
2562,1
2573,1
2578,3
2582,1
2584,1
2588,1
2593,1
2596,2
2602,3
2606,1
2609,2
2612,1
2616,1
2620,1
2622,1
2624,1
2627,1
2630,2
2635,1
2639,2
2642,1
2644,1
2650,1
2654,1
2656,1
2659,2
2662,2
2665,1
2668,1
2671,1
2676,1
2684,2
2687,1
2692,3
2695,1
2698,2
2702,2
2709,1
2711,1
2714,1
2717,1
2720,1
2723,1
2728,1
2732,3
2735,1
2743,2
2746,1
2752,2
2756,1
2758,1
2761,1
2766,2
2770,2
2773,1
2777,2
2785,2
2791,5
2794,1
2796,1
2801,2
2804,1
2807,1
2810,2
2813,1
2821,2
2824,1
2826,1
2828,1
2831,1
2833,1
2836,1
2839,1
2845,3
2849,2
2853,1
2855,1
2858,1
2861,1
2867,1
2870,1
2872,1
2876,1
2878,1
2883,1
2885,1
2889,1
2894,1
2901,1
2909,2
2912,2
2916,2
2919,1
2922,1
2924,1
2927,1
2931,2
2933,1
2942,1
2945,1
2949,2
2952,1
2954,1
2958,1
2961,1
2974,2
2984,2
2989,1
2991,1
2998,2
3001,1
3004,1
3006,1
3009,1
3011,1
3014,2
3022,2
3025,1
3040,2
3044,1
3047,2
3053,2
3058,1
3060,1
3065,1
3071,1
3074,1
3077,1
3080,2
3083,1
3090,3
3094,1
3098,1
3101,2
3104,1
3112,2
3120,1
3122,1
3128,4
3130,1
3136,1
3138,1
3140,1
3142,1
3146,2
3149,1
3152,1
3159,2
3162,2
3166,2
3171,1
3173,1
3178,1
3180,1
3183,1
3186,2
3189,1
3192,1
3198,2
3209,2
3212,1
3216,1
3218,1
3230,2
3232,1
3235,2
3241,2
3247,1
3250,1
3253,1
3256,1
3259,1
3261,1
3269,2
3272,1
3274,1
3278,2
3282,2
3285,1
3289,1
3291,1
3293,1
3295,1
3301,1
3306,1
3308,1
3310,1
3312,1
3315,1
3321,2
3327,5
3331,1
3336,2
3343,3
3345,1
3349,1
3354,4
3359,1
3361,1
3365,1
3372,1
3376,1
3382,1
3386,2
3390,1
3395,1
3399,1
3402,1
3405,2
3407,1
3412,1
3417,1
3419,1
3422,2
3425,1
3428,1
3432,1
3441,1
3444,1
3446,1
3449,2
3452,1
3455,1
3459,1
3464,2
3471,2
3477,2
3479,1
3485,1
3487,1
3489,1
3491,1
3497,4
3500,1
3503,1
3506,1
3509,1
3511,1
3513,1
3515,1
3517,1
3520,2
3524,1
3527,2
3530,1
3540,1
3542,1
3546,1
3548,1
3551,1
3553,1
3556,2
3563,1
3568,2
3574,3
3577,2
3586,2
3592,1
3597,2
3599,1
3604,1
3607,1
3615,1
3619,2
3627,1
3630,1
3635,2
3637,1
3641,2
3647,1
3649,1
3651,1
3661,2
3664,1
3668,1
3671,1
3678,1
3680,1
3684,1
3687,2
3690,1
3694,2
3697,2
3704,1
3711,1
3714,2
3721,2
3727,2
3732,1
3737,1
3745,1
3751,4
3754,2
3760,1
3767,1
3775,4
3778,1
3780,1
3783,1
3788,1
3790,1
3792,1
3794,1
3798,1
3802,1
3804,1
3806,1
3810,1
3813,1
3816,1
3818,1
3823,1
3829,2
3831,1
3835,1
3838,1
3841,1
3845,1
3848,1
3853,2
3857,1
3860,2
3866,3
3871,1
3874,1
3876,1
3879,1
3882,1
3884,1
3889,2
3896,1
3899,2
3901,1
3903,1
3907,2
3910,1
3913,1
3915,1
3920,1
3923,1
3928,2
3930,1
3935,3
3940,1
3946,2
3949,1
3958,1
3964,1
3968,1
3971,1
3973,1
3975,1
3980,2
3988,2
3993,1
3996,1
3999,1
4003,2
4005,1
4008,1
4010,1
4017,2
4023,3
4027,1
4030,1
4033,1
4046,1
4048,1
4053,1
4059,4
4061,1
4065,3
4067,1
4070,1
4074,1
4080,2
4083,1
4087,1
4092,1
4094,1
4099,1
4103,2
4108,1
4112,1
4115,1
4120,2
4123,1
4126,1
4128,1
4136,1
4139,1
4143,1
4145,1
4148,1
4153,2
4155,1
4157,1
4160,1
4165,1
4171,2
4174,2
4179,2
4182,1
4185,1
4187,1
4189,1
4194,2
4199,1
4202,1
4208,1
4210,1
4212,1
4215,1
4219,3
4223,1
4226,1
4228,1
4230,1
4233,1
4236,1
4246,2
4253,4
4256,1
4259,1
4262,1
4268,2
4275,1
4277,1
4280,2
4285,1
4287,1
4290,1
4295,2
4303,1
4307,2
4309,1
4315,1
4318,1
4322,1
4327,1
4329,1
4332,2
4339,1
4341,1
4347,5
4350,1
4353,1
4361,3
4365,2
4371,1
4378,1
4386,2
4389,1
4392,1
4395,2
4398,1
4401,2
4406,1
4408,1
4411,1
4413,1
4429,1
4431,1
4435,1
4441,1
4444,2
4446,1
4452,4
4455,1
4458,1
4463,2
4470,2
4473,1
4476,1
4481,1
4484,1
4486,1
4491,1
4494,2
4496,1
4499,2
4503,1
4506,1
4508,1
4516,1
4526,1
4529,2
4534,2
4536,1
4539,1
4543,2
4545,1
4548,2
4551,2
4556,1
4560,2
4562,1
4566,1
4569,2
4571,1
4580,1
4582,1
4599,2
4605,1
4618,1
4621,1
4624,1
4627,2
4635,1
4641,2
4646,1
4651,1
4655,2
4657,1
4659,1
4661,1
4664,1
4672,2
4674,1
4680,2
4684,2
4687,1
4693,2
4695,1
4704,1
4713,1
4716,1
4718,1
4724,4
4730,1
4735,2
4742,2
4747,1
4755,2
4758,2
4761,1
4764,1
4766,1
4768,1
4770,1
4773,2
4775,1
4779,2
4785,1
4791,1
4796,1
4800,2
4806,2
4812,2
4815,1
4818,1
4821,2
4823,1
4825,1
4828,1
4830,1
4835,1
4842,2
4845,1
4848,1
4853,2
4855,1
4861,1
4868,1
4871,1
4873,1
4877,2
4880,2
4883,1
4885,1
4889,2
4891,1
4904,1
4909,3
4912,2
4915,2
4917,1
4921,1
4924,1
4932,1
4934,1
4937,1
4941,1
4946,1
4950,2
4952,1
