position,repeat_count
86,85
89,2
93,2
97,2
99,1
102,2
104,1
107,2
118,10
121,2
123,1
126,2
128,1
131,2
133,1
136,2
144,7
147,2
149,1
152,2
154,1
157,2
165,7
168,2
170,1
173,2
175,1
178,2
186,7
189,2
191,1
194,2
196,1
199,2
204,4
207,2
212,4
215,2
217,1
220,2
225,4
228,2
230,1
233,2
238,4
242,2
244,1
248,2
254,2
257,1
261,2
264,1
268,2
271,1
276,1
280,2
284,1
288,3
292,1
294,1
296,1
302,4
304,1
308,2
310,1
312,1
315,2
322,1
326,1
329,1
333,1
335,1
337,1
341,3
348,4
350,1
353,1
356,2
359,1
363,2
368,1
371,1
377,1
381,1
386,1
390,2
402,1
406,1
434,1
438,1
442,1
447,2
463,1
471,1
477,1
483,1
489,1
495,1
501,4
505,1
509,1
514,4
516,1
531,1
536,2
546,1
552,4
566,1
571,1
576,4
592,2
596,1
603,3
609,4
615,1
621,1
632,1
642,2
651,1
658,1
662,1
664,1
668,1
673,4
679,2
681,1
685,1
708,2
714,4
718,1
723,4
730,2
750,1
767,1
791,4
797,1
803,1
809,1
815,1
817,1
821,2
833,1
843,4
857,1
860,1
865,1
871,1
876,2
879,1
881,1
900,4
904,1
910,1
920,2
922,1
929,3
933,1
941,2
946,1
950,1
953,1
956,1
960,1
965,2
969,1
971,1
975,1
983,4
989,2
991,1
995,2
1000,2
1012,1
1024,4
1027,1
1039,3
1044,1
1048,1
1051,1
1054,1
1061,1
1066,1
1076,2
1082,4
1086,1
1088,1
1093,2
1097,1
1103,1
1105,1
1110,1
1119,1
1134,3
1138,2
1141,2
1143,1
1156,4
1162,2
1173,3
1181,1
1193,1
1197,2
1199,1
1204,1
1213,4
1216,1
1223,2
1225,1
1233,3
1237,2
1240,2
1243,1
1249,2
1256,2
1261,1
1267,1
1270,1
1276,1
1280,2
1283,1
1290,1
1294,1
1300,4
1302,1
1314,2
1318,2
1323,2
1326,2
1331,2
1334,1
1339,1
1359,1
1364,4
1369,3
1377,3
1382,1
1388,1
1391,1
1402,4
1404,1
1417,1
1421,1
1426,4
1430,1
1444,1
1446,1
1450,2
1454,1
1458,2
1463,1
1468,2
1472,2
1481,4
1495,1
1498,1
1505,2
1517,4
1532,3
1537,1
1550,2
1555,1
1558,1
1561,1
1567,1
1572,1
1578,4
1584,1
1591,3
1598,2
1600,1
1609,4
1614,2
1622,1
1628,1
1631,1
1653,4
1657,2
1673,2
1675,1
1678,1
1681,1
1689,4
1692,1
1696,2
1698,1
1708,1
1713,1
1718,2
1721,1
1723,1
1726,2
1733,4
1735,1
1748,1
1752,1
1755,2
1762,1
1767,1
1771,1
1776,2
1783,1
1792,2
1795,1
1797,1
1802,3
1809,1
1812,1
1814,1
1820,4
1825,2
1834,1
1841,1
1850,1
1857,1
1862,1
1864,1
1868,2
1885,1
1888,1
1891,1
1893,1
1898,4
1911,2
1914,1
1931,1
1933,1
1937,1
1948,2
1956,3
1962,4
1970,4
1980,3
1986,1
1991,2
1998,2
2001,1
2003,1
2005,1
2012,1
2015,1
2026,4
2029,1
2032,1
2035,1
2037,1
2039,1
2051,1
2054,1
2070,1
2075,1
2077,1
2082,2
2090,2
2099,2
2108,1
2111,1
2118,2
2124,1
2127,2
2129,1
2132,1
2139,4
2144,2
2150,2
2153,1
2156,1
2161,1
2165,1
2181,2
2185,2
2190,1
2192,1
2195,2
2197,1
2201,1
2205,1
2213,4
2220,1
2223,1
2235,1
2237,1
2244,1
2249,1
2252,1
2254,1
2263,2
2267,1
2282,2
2286,1
2291,1
2297,1
2306,1
2312,1
2315,2
2321,2
2325,2
2328,1
2330,1
