row_position,mean_score,mean_row_placement,mean_gap_left,v_move_ratio
500000,1.684,2.228756,0.47786,0.525974
1000000,1.6514,2.228522,0.474412,0.526224
1500000,1.7548,2.231414,0.472828,0.526332
2000000,1.7926,2.232004,0.473272,0.526338
2500000,1.5926,2.23372,0.471784,0.526384
3000000,1.539,2.237156,0.468934,0.526436
3500000,1.4316,2.238398,0.46878,0.52638
4000000,1.4824,2.23859,0.464802,0.526436
4500000,1.3548,2.240766,0.461674,0.52641
5000000,1.3782,2.244502,0.458358,0.526422
5500000,1.3062,2.248224,0.457104,0.526464
6000000,1.2826,2.250092,0.450976,0.526416
6500000,1.1192,2.2538,0.44865,0.52644
7000000,1.0616,2.257794,0.445928,0.526418
7500000,1.0076,2.261436,0.440406,0.526498
8000000,0.9762,2.263342,0.436184,0.526398
8500000,1.0158,2.268194,0.433494,0.526476
9000000,0.899,2.272772,0.43094,0.526492
9500000,0.8604,2.27725,0.427586,0.526446
10000000,0.7968,2.281454,0.422582,0.526472
