position,repeat_count
2,1
4,1
7,1
10,1
17,1
20,1
25,1
29,1
37,1
39,1
49,1
63,1
66,1
84,1
98,1
101,1
117,1
133,1
145,1
151,1
168,1
184,1
201,1
203,1
219,1
236,1
253,1
270,1
287,1
323,1
341,1
359,1
361,1
376,1
379,1
387,1
396,1
412,1
423,1
447,1
469,1
480,1
502,1
510,1
523,1
528,1
542,1
547,1
559,1
562,1
566,1
578,1
580,1
585,1
596,1
598,1
613,1
629,1
636,1
651,1
668,1
673,1
706,1
717,1
725,1
741,1
753,1
763,1
770,1
801,1
838,1
850,1
859,1
886,1
896,1
907,1
916,1
926,1
933,1
942,1
947,1
964,1
982,1
992,1
998,1
1005,1
1020,1
1038,1
1053,1
1076,1
1078,1
1096,1
1114,1
1134,1
1152,1
1154,1
1170,1
1172,1
1188,1
1194,1
1210,1
1226,1
1232,1
1235,1
1248,1
1251,1
1263,1
1265,1
1267,1
1270,1
1284,1
1286,1
1300,1
1324,1
1339,1
1343,1
1345,1
1360,1
1362,1
1381,1
1385,1
1398,1
1416,1
1435,1
1455,1
1459,1
1476,1
1494,1
1512,1
1518,1
1532,1
1549,1
1551,1
1554,1
1570,1
1586,1
1589,1
1607,1
1626,1
1629,1
1646,1
1664,1
1683,1
1702,1
1721,1
1740,1
1759,1
1797,1
1815,1
1817,1
1835,1
1839,1
1855,1
1858,1
1874,1
1916,1
1931,1
1933,1
1950,1
1967,1
1970,2
1988,1
2006,1
2023,1
2026,1
2044,1
2082,1
2120,1
2139,1
2173,1
2183,1
2214,1
2217,1
2235,1
2253,1
2257,1
2273,1
2276,1
2287,1
2305,1
2312,1
2339,1
2350,1
2352,1
2370,2
2388,1
2392,1
2425,1
2429,1
2463,1
2482,1
2504,1
2539,1
2557,1
2559,1
2572,1
2578,1
2596,1
2615,1
2634,1
2645,1
2672,1
2691,1
2723,1
2731,2
2733,1
2750,1
2763,1
2766,1
2769,1
2780,1
2784,1
2789,1
2800,1
2802,1
2808,1
2820,1
2837,1
2862,1
2874,1
2894,1
2903,1
2911,1
2921,1
2926,1
2936,1
2957,1
2976,1
2990,1
2994,1
3009,1
3027,1
3045,1
3057,1
3082,1
3087,1
3104,1
3133,1
3142,1
3144,1
3156,1
3162,1
3174,1
3189,1
3191,1
3199,1
3201,1
3209,1
3218,1
3250,1
3256,1
3272,1
3275,1
3305,1
3312,1
3328,1
3330,1
3345,1
3349,1
3382,1
3386,1
3404,1
3407,1
3423,1
3437,1
3442,1
3446,1
3449,1
3480,1
3482,1
3499,1
3501,1
3503,1
3518,1
3520,1
3523,1
3537,1
3539,1
3541,1
3556,1
3567,1
3574,1
3578,1
3595,2
3609,1
3613,1
3621,1
3633,1
3636,1
3649,1
3652,1
3672,1
3691,1
3710,1
3727,1
3729,1
3731,1
3747,1
3749,1
3765,1
3767,1
3769,1
3785,1
3788,1
3803,1
3805,1
3822,1
3841,1
3859,1
3864,1
3880,1
3882,1
3884,1
3899,1
3918,1
3920,1
3937,1
3940,1
3957,1
3959,1
3975,1
3992,1
3995,1
4012,1
4015,1
4023,1
4031,1
4034,1
4045,1
4052,1
4064,1
4082,1
4091,1
4108,1
4110,1
4145,1
4147,1
4159,1
4204,1
4241,1
4243,1
4261,1
4279,1
4299,1
4335,1
4356,1
4393,1
4411,1
4415,1
4431,1
4433,1
4449,1
4452,1
4469,1
4487,1
4506,1
4509,1
4526,1
4529,1
4563,1
4568,1
4581,1
4587,1
4618,1
4640,1
4642,1
4659,1
4675,1
4680,1
4712,1
4716,1
4718,1
4732,1
4750,1
4766,1
4774,1
4789,1
4796,1
4806,1
4810,1
4812,1
4824,1
4827,1
4851,1
4864,1
4881,1
4899,1
4918,1
4934,1
4962,1
4974,1
4976,1
4990,1
4994,1
5010,1
5027,1
5032,1
5049,1
5051,1
5067,1
5090,1
5102,1
5106,1
5123,1
5140,1
5142,1
5161,1
5178,1
5184,1
5200,1
5216,1
5218,1
5221,2
5237,1
5264,1
5273,1
5290,1
5295,1
5312,1
5333,1
5350,1
5355,1
5368,1
5370,1
5387,1
5389,1
5406,1
5426,2
5444,1
5447,1
5463,1
5480,1
5483,1
5501,1
5518,1
5521,1
5523,1
5540,1
5557,1
5569,1
5576,1
5579,1
5588,1
5597,1
5612,1
5615,1
5619,1
5634,1
5639,1
5650,1
5653,1
5655,1
5672,2
5690,1
5699,1
5709,1
5716,1
5729,1
5746,1
5765,1
5768,1
5785,1
5797,1
5800,1
5805,1
5808,1
5822,1
5824,1
5826,1
5843,1
5899,1
5902,1
5918,1
5920,1
5937,1
5944,1
5955,1
5960,1
5965,1
5973,1
5978,1
6012,1
6031,1
6049,1
6067,1
6070,1
6087,1
6089,1
6106,1
6115,1
6124,1
6141,1
6160,1
6166,1
6179,1
6183,1
6197,1
6214,1
6218,1
6252,1
6267,1
6271,1
6292,1
6295,1
6312,1
6324,1
6329,1
6332,1
6348,1
